epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3150.81,0.61206,0.68997,1.12661,0.91344,0.78977,0.88344,0.64567,0.90171,0.76357,1.46636,0.000703961,0.000703961,0.000703961
43,3224.89,0.60098,0.66861,1.13158,0.88364,0.75546,0.8907,0.6496,0.86123,0.85145,1.43158,0.000686277,0.000686277,0.000686277
44,3299.17,0.57797,0.66336,1.11382,0.87663,0.64253,0.82282,0.62879,0.83827,0.97445,1.39236,0.000668593,0.000668593,0.000668593
45,3373.33,0.58916,0.64199,1.10255,0.89138,0.74916,0.89183,0.64732,0.83164,0.81317,1.35527,0.000650909,0.000650909,0.000650909
46,3447.77,0.60556,0.64338,1.11924,0.79062,0.81931,0.86445,0.62282,0.85294,0.85771,1.41579,0.000633226,0.000633226,0.000633226
47,3522.06,0.56716,0.61748,1.09643,0.90594,0.75068,0.85922,0.64007,0.88289,0.85366,1.50649,0.000615542,0.000615542,0.000615542
48,3596.36,0.5567,0.63582,1.08879,0.85505,0.75759,0.83127,0.59573,0.86686,0.836,1.42761,0.000597858,0.000597858,0.000597858
49,3670.92,0.59847,0.62248,1.11431,0.93842,0.80514,0.91391,0.67013,0.81935,0.68871,1.37387,0.000580174,0.000580174,0.000580174
50,3745.1,0.55411,0.60224,1.08003,0.80886,0.8716,0.88135,0.657,0.82271,0.73861,1.41954,0.00056249,0.00056249,0.00056249
51,3819.72,0.57139,0.60929,1.09889,0.88856,0.76888,0.88789,0.65223,0.83221,0.80884,1.42138,0.000544806,0.000544806,0.000544806
52,3893.9,0.54536,0.63444,1.09486,0.8813,0.79481,0.88237,0.65497,0.80353,0.75646,1.37558,0.000527122,0.000527122,0.000527122
53,3967.93,0.55202,0.61381,1.09245,0.93115,0.74195,0.88821,0.63609,0.84754,0.8292,1.42011,0.000509438,0.000509438,0.000509438
54,4042.44,0.53025,0.6052,1.07684,0.92607,0.80336,0.88894,0.66809,0.78771,0.73636,1.34373,0.000491755,0.000491755,0.000491755
55,4116.96,0.52869,0.57057,1.0722,0.89021,0.76207,0.86977,0.66816,0.86174,0.76974,1.43988,0.000474071,0.000474071,0.000474071
56,4191.56,0.53907,0.58097,1.0799,0.86015,0.80031,0.89495,0.68076,0.76668,0.75072,1.28475,0.000456387,0.000456387,0.000456387
57,4265.63,0.52265,0.56153,1.06322,0.93802,0.78358,0.9102,0.69063,0.78874,0.72471,1.36981,0.000438703,0.000438703,0.000438703
58,4339.58,0.52931,0.56375,1.07056,0.86015,0.77366,0.85577,0.64801,0.82329,0.79269,1.40163,0.000421019,0.000421019,0.000421019
59,4413.73,0.51419,0.56729,1.05975,0.93475,0.76657,0.90034,0.65993,0.81673,0.79364,1.40913,0.000403335,0.000403335,0.000403335
60,4488.31,0.50706,0.55164,1.06171,0.93253,0.77001,0.897,0.66212,0.79433,0.73803,1.37944,0.000385651,0.000385651,0.000385651
61,4562.56,0.50997,0.56379,1.07657,0.94057,0.76584,0.88493,0.66206,0.77539,0.77534,1.37472,0.000367967,0.000367967,0.000367967
62,4636.58,0.49252,0.53697,1.06169,0.90606,0.78446,0.89019,0.661,0.77444,0.77071,1.35994,0.000350284,0.000350284,0.000350284
